epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,88.649,0.89413,0.60024,0.91014,1.15518,0.94936,0.83333,0.92213,0.7385,0.94936,0.83333,0.94031,0.41872,0.73596,0.62132,0.76355,1.0129,0.0004754,0.0004754,0.0004754
79,89.7459,0.89191,0.62791,0.94967,1.16946,0.90233,0.85714,0.92443,0.73049,0.87543,0.83672,0.89634,0.43088,0.73409,0.61773,0.75138,1.0047,0.0004556,0.0004556,0.0004556
80,90.8433,0.8898,0.65523,0.96274,1.14488,0.90202,0.87689,0.91687,0.73683,0.87677,0.85714,0.88929,0.43237,0.73082,0.61408,0.76276,1.00272,0.0004358,0.0004358,0.0004358
81,91.9366,0.86316,0.58927,0.86763,1.15607,0.90202,0.87689,0.91687,0.73683,0.87677,0.85714,0.88929,0.43237,0.73082,0.61408,0.76276,1.00272,0.000416,0.000416,0.000416
82,93.0476,0.85176,0.56446,0.87019,1.148,0.89668,0.8267,0.91246,0.71216,0.87089,0.80312,0.88318,0.42379,0.74346,0.61217,0.76559,1.0173,0.0003962,0.0003962,0.0003962
83,94.1685,0.88796,0.61088,0.92194,1.17281,0.90169,0.87359,0.92194,0.72074,0.90169,0.87359,0.93419,0.43586,0.74742,0.6149,0.74862,1.02352,0.0003764,0.0003764,0.0003764
84,95.2926,0.83,0.5478,0.84457,1.12781,0.92484,0.87892,0.92132,0.71908,0.92484,0.87892,0.94207,0.42963,0.74582,0.62445,0.72451,1.02102,0.0003566,0.0003566,0.0003566
85,96.4263,0.81954,0.54298,0.8724,1.11242,0.87777,0.88095,0.91753,0.73915,0.87777,0.88095,0.93959,0.44144,0.7432,0.62764,0.71792,1.01804,0.0003368,0.0003368,0.0003368
86,97.5626,0.84901,0.59272,0.85836,1.15543,0.89901,0.88095,0.91854,0.72863,0.89901,0.88095,0.93934,0.46887,0.7193,0.62705,0.70513,1.0013,0.000317,0.000317,0.000317
87,98.681,0.84243,0.56983,0.88189,1.13126,0.89901,0.88095,0.91854,0.72863,0.89901,0.88095,0.93934,0.46887,0.7193,0.62705,0.70513,1.0013,0.0002972,0.0002972,0.0002972
88,99.8129,0.79,0.53922,0.82952,1.11075,0.89977,0.85504,0.91028,0.73397,0.89977,0.85504,0.92923,0.46373,0.72397,0.62267,0.71426,0.99498,0.0002774,0.0002774,0.0002774
89,100.944,0.81393,0.57678,0.8416,1.10254,0.90414,0.89843,0.91937,0.74394,0.90414,0.89843,0.93962,0.47036,0.72811,0.62508,0.71639,0.99201,0.0002576,0.0002576,0.0002576
90,102.112,0.8173,0.5698,0.81484,1.12119,0.93904,0.85714,0.92539,0.74488,0.93904,0.85714,0.94367,0.46187,0.74725,0.62522,0.70471,0.9971,0.0002378,0.0002378,0.0002378
91,103.54,0.79783,0.59067,0.93591,1.1125,0.94303,0.88095,0.93014,0.7583,0.94303,0.88095,0.94672,0.48565,0.74064,0.61142,0.67906,0.99034,0.000218,0.000218,0.000218
92,104.721,0.79769,0.62561,0.96744,1.11062,0.97363,0.87901,0.93878,0.75041,0.97363,0.87901,0.93635,0.4697,0.7174,0.62153,0.68381,0.98144,0.0001982,0.0001982,0.0001982
93,105.834,0.74377,0.52669,0.89057,1.10319,0.9349,0.88095,0.93786,0.75832,0.9349,0.88095,0.93542,0.45545,0.70248,0.62872,0.69259,0.97751,0.0001784,0.0001784,0.0001784
94,106.898,0.77298,0.58146,0.86936,1.09542,0.9349,0.88095,0.93786,0.75832,0.9349,0.88095,0.93542,0.45545,0.70248,0.62872,0.69259,0.97751,0.0001586,0.0001586,0.0001586
95,107.985,0.77188,0.53269,0.89033,1.10396,0.93902,0.90476,0.93998,0.75127,0.91399,0.88095,0.90505,0.41325,0.70901,0.63204,0.70574,0.98214,0.0001388,0.0001388,0.0001388
96,109.09,0.72269,0.53552,0.87825,1.07632,0.92595,0.89327,0.93863,0.75134,0.90126,0.86947,0.90186,0.40569,0.72033,0.6404,0.71114,0.98962,0.000119,0.000119,0.000119
97,110.187,0.75953,0.52758,0.90241,1.0803,0.91893,0.90476,0.93722,0.7487,0.89447,0.88095,0.89852,0.40928,0.72894,0.64521,0.71927,0.99614,9.92e-05,9.92e-05,9.92e-05
98,111.286,0.7695,0.54272,0.84123,1.09301,0.94717,0.90476,0.93851,0.75133,0.92182,0.88095,0.90027,0.41696,0.72409,0.64703,0.72144,0.99435,7.94e-05,7.94e-05,7.94e-05
99,112.409,0.75119,0.54554,0.86218,1.08261,0.92428,0.90476,0.93447,0.74455,0.92428,0.90476,0.93101,0.41358,0.72516,0.61645,0.72288,0.99882,5.96e-05,5.96e-05,5.96e-05
100,113.521,0.80308,0.54326,0.86529,1.1484,0.92428,0.90476,0.93447,0.74455,0.92428,0.90476,0.93101,0.41358,0.72516,0.61645,0.72288,0.99882,3.98e-05,3.98e-05,3.98e-05
